asset,signal,joint_crashes_t2,joint_crashes_t4,joint_crashes_t5,ltd_t2,ltd_t4,crash_std,normal_std,stability_ratio,crash_corr,normal_corr,regime_d
BTC,Full_LRR,7,7,7,0.1148,0.1148,0.0057,0.0059,0.9577,0.1624,-0.0135,0.4448
BTC,PageRank,8,8,8,0.1311,0.1311,0.0601,0.0499,1.2054,0.3680,0.0658,0.1717
BTC,HITS,7,7,7,0.1148,0.1148,0.1055,0.0644,1.6370,0.3102,-0.0004,0.0158
BTC,Simple,9,9,9,0.1475,0.1475,0.0598,0.0494,1.2092,0.3631,0.0627,0.1842
BTC,LRR_Social,9,9,9,0.1475,0.1475,0.0669,0.0509,1.3140,0.3548,0.0451,0.0330
BTC,Neut_LRR,10,10,10,0.1639,0.1639,0.0418,0.0336,1.2435,0.3773,0.0429,0.0580
BTC,LRR_NoCon,8,8,8,0.1311,0.1311,0.0698,0.0514,1.3584,0.3535,0.0389,0.0146
ETH,Full_LRR,7,7,7,0.1148,0.1148,0.0155,0.0034,4.6223,0.1771,-0.0286,0.0838
ETH,PageRank,10,10,10,0.1639,0.1639,0.0566,0.0503,1.1237,0.3670,0.0300,0.1597
ETH,HITS,8,8,8,0.1311,0.1311,0.1002,0.0654,1.5316,0.2945,-0.0095,0.1633
ETH,Simple,11,11,11,0.1803,0.1803,0.0563,0.0499,1.1278,0.3618,0.0271,0.1656
ETH,LRR_Social,11,11,11,0.1803,0.1803,0.0625,0.0515,1.2144,0.3542,0.0136,0.1272
ETH,Neut_LRR,12,12,12,0.1967,0.1967,0.0404,0.0337,1.1992,0.3609,0.0250,0.1163
ETH,LRR_NoCon,10,10,10,0.1639,0.1639,0.0654,0.0520,1.2573,0.3548,0.0101,0.1145
DOGE,Full_LRR,7,7,7,0.1148,0.1148,0.0050,0.0060,0.8332,0.1507,-0.0461,0.1132
DOGE,PageRank,8,8,8,0.1311,0.1311,0.0547,0.0506,1.0813,0.4237,0.0106,0.0276
DOGE,HITS,9,9,9,0.1475,0.1475,0.1072,0.0642,1.6709,0.4958,-0.0022,0.0169
DOGE,Simple,9,9,9,0.1475,0.1475,0.0545,0.0501,1.0870,0.4217,0.0118,0.0363
DOGE,LRR_Social,9,9,9,0.1475,0.1475,0.0618,0.0516,1.1969,0.4364,0.0042,0.0176
DOGE,Neut_LRR,10,10,10,0.1639,0.1639,0.0386,0.0340,1.1361,0.5188,0.0122,0.0256
DOGE,LRR_NoCon,8,8,8,0.1311,0.1311,0.0648,0.0521,1.2442,0.4547,0.0021,0.0093
LTC,Full_LRR,6,6,6,0.0984,0.0984,0.0053,0.0060,0.8941,-0.0114,-0.0613,0.1605
LTC,PageRank,8,8,8,0.1311,0.1311,0.0538,0.0507,1.0618,0.3236,0.0437,0.1121
LTC,HITS,5,5,5,0.0820,0.0820,0.1023,0.0650,1.5727,0.3750,0.0192,0.1284
LTC,Simple,8,8,8,0.1311,0.1311,0.0532,0.0503,1.0567,0.3314,0.0451,0.1031
LTC,LRR_Social,8,8,8,0.1311,0.1311,0.0611,0.0517,1.1815,0.3333,0.0393,0.1167
LTC,Neut_LRR,9,9,9,0.1475,0.1475,0.0384,0.0340,1.1277,0.3871,0.0390,0.1139
LTC,LRR_NoCon,7,7,7,0.1148,0.1148,0.0644,0.0522,1.2336,0.3408,0.0377,0.1214
SOL,Full_LRR,5,5,5,0.0820,0.0820,0.0147,0.0038,3.8673,-0.0072,-0.0169,0.0834
SOL,PageRank,11,11,11,0.1803,0.1803,0.0530,0.0506,1.0478,0.3689,0.0419,0.0624
SOL,HITS,6,6,6,0.0984,0.0984,0.0902,0.0670,1.3454,0.4052,0.0140,0.0209
SOL,Simple,12,12,12,0.1967,0.1967,0.0521,0.0503,1.0376,0.3688,0.0434,0.0305
SOL,LRR_Social,12,12,12,0.1967,0.1967,0.0575,0.0520,1.1057,0.3835,0.0347,0.0503
SOL,Neut_LRR,12,12,12,0.1967,0.1967,0.0351,0.0343,1.0228,0.4528,0.0345,0.0780
SOL,LRR_NoCon,11,11,11,0.1803,0.1803,0.0600,0.0526,1.1416,0.3911,0.0326,0.0592
XRP,Full_LRR,5,5,5,0.0820,0.0820,0.0069,0.0058,1.1921,0.0474,-0.0459,0.0517
XRP,PageRank,12,12,12,0.1967,0.1967,0.0643,0.0493,1.3050,0.2105,0.0690,0.0738
XRP,HITS,8,8,8,0.1311,0.1311,0.1116,0.0634,1.7609,0.3114,0.0338,0.1550
XRP,Simple,14,14,14,0.2295,0.2295,0.0639,0.0489,1.3067,0.2111,0.0674,0.0801
XRP,LRR_Social,13,13,13,0.2131,0.2131,0.0709,0.0503,1.4104,0.2332,0.0575,0.0762
XRP,Neut_LRR,14,14,14,0.2295,0.2295,0.0444,0.0332,1.3367,0.2775,0.0581,0.0805
XRP,LRR_NoCon,12,12,12,0.1967,0.1967,0.0738,0.0508,1.4532,0.2490,0.0543,0.0694
