dropped_channel,tweets_dropped,pct_dropped,lrr_F,lrr_p,lrr_sig,pr_F,pr_p,pr_sig,hits_F,hits_p,hits_sig
0xPolygon,3670,1.05,8.343,0.0002,*,4.916,0.0,*,6.073,0.0004,*
100trillionUSD,3215,0.92,8.519,0.0002,*,4.764,0.0,*,5.93,0.0005,*
APompliano,10940,3.12,7.363,0.0007,*,4.868,0.0,*,5.658,0.0007,*
AndreCronje123,40,0.01,8.387,0.0002,*,4.874,0.0,*,6.032,0.0004,*
AndreCronjeTech,1506,0.43,7.978,0.0004,*,4.895,0.0,*,6.194,0.0003,*
BTCTN,12128,3.46,7.529,0.0006,*,5.548,0.0,*,6.001,0.0005,*
BY_DeFi,1239,0.35,8.43,0.0002,*,4.803,0.0,*,6.004,0.0005,*
BarrySilbert,1750,0.5,7.845,0.0004,*,8.334,0.0,*,0.594,0.5524,
Bitcoin,1389,0.4,16.026,0.0,*,5.448,0.0,*,10.583,0.0,*
BitcoinMagazine,14566,4.15,14.413,0.0,*,4.844,0.0,*,4.734,0.0027,*
Blockstream,1791,0.51,8.333,0.0002,*,4.961,0.0,*,6.004,0.0005,*
Blockworks_,8992,2.56,8.123,0.0003,*,5.04,0.0,*,6.095,0.0004,*
CoinDesk,23659,6.74,7.699,0.0005,*,8.549,0.0,*,6.608,0.0002,*
CoinDeskMarkets,777,0.22,8.194,0.0003,*,4.856,0.0,*,6.08,0.0004,*
CoinMarketCap,9791,2.79,8.403,0.0002,*,5.295,0.0,*,6.318,0.0003,*
Cointelegraph,57717,16.45,7.868,0.0004,*,7.959,0.0,*,6.474,0.0002,*
CointelegraphZN,460,0.13,8.399,0.0002,*,4.882,0.0,*,6.025,0.0004,*
DefiantNews,4813,1.37,7.039,0.0009,*,4.642,0.0,*,5.845,0.0006,*
DylanLeClair_,8131,2.32,9.203,0.0001,*,4.513,0.0001,*,5.569,0.0008,*
ErikVoorhees,6016,1.71,8.096,0.0003,*,4.905,0.0,*,6.215,0.0003,*
Grayscale,1154,0.33,8.306,0.0003,*,4.899,0.0,*,6.066,0.0004,*
IOHK_Charles,3058,0.87,8.575,0.0002,*,4.684,0.0,*,5.982,0.0005,*
JamieCrawleyCD,1003,0.29,8.3,0.0003,*,4.826,0.0,*,6.08,0.0004,*
Liquid_BTC,735,0.21,8.473,0.0002,*,4.798,0.0,*,5.998,0.0005,*
NeerajKA,10890,3.1,8.197,0.0003,*,4.602,0.0,*,6.025,0.0004,*
NischalShetty,3238,0.92,8.528,0.0002,*,4.806,0.0,*,5.939,0.0005,*
OurNetwork__,324,0.09,8.39,0.0002,*,4.88,0.0,*,6.042,0.0004,*
RaoulGMI,8498,2.42,8.313,0.0003,*,5.15,0.0,*,6.281,0.0003,*
SatoshiLite,1174,0.33,1.05,0.3057,,7.293,0.007,*,3.083,0.0793,
ShapeShift_io,480,0.14,8.392,0.0002,*,4.879,0.0,*,6.057,0.0004,*
Stacks,2296,0.65,8.275,0.0003,*,4.932,0.0,*,6.028,0.0004,*
THORChain,5086,1.45,8.261,0.0003,*,4.65,0.0,*,6.046,0.0004,*
Tanzeel_Akhtar,999,0.28,8.382,0.0002,*,4.897,0.0,*,6.093,0.0004,*
Unchained_pod,3129,0.89,8.357,0.0002,*,4.911,0.0,*,6.116,0.0004,*
VitalikButerin,2642,0.75,5.39,0.0046,*,6.132,0.0004,*,3.495,0.0151,*
WeekInEthNews,775,0.22,8.156,0.0003,*,5.014,0.0,*,6.084,0.0004,*
aantonop,357,0.1,7.906,0.0004,*,9.672,0.0,*,10.15,0.0,*
adam3us,10092,2.88,7.237,0.0007,*,7.893,0.0,*,0.263,0.7686,
binance,9071,2.59,7.94,0.0004,*,4.414,0.0001,*,5.99,0.0005,*
bitfinex,1473,0.42,8.309,0.0003,*,4.855,0.0,*,6.103,0.0004,*
brian_armstrong,1285,0.37,11.278,0.0,*,12.341,0.0,*,1.272,0.2805,
coinbase,1145,0.33,6.873,0.0011,*,6.363,0.0,*,0.407,0.6657,
coindanslecoin,637,0.18,8.339,0.0002,*,4.699,0.0,*,6.057,0.0004,*
coingecko,5085,1.45,7.634,0.0005,*,4.84,0.0,*,5.641,0.0008,*
coinmetrics,1306,0.37,8.414,0.0002,*,4.863,0.0,*,5.944,0.0005,*
cryptocom,3334,0.95,8.17,0.0003,*,5.085,0.0,*,6.074,0.0004,*
cz_binance,6897,1.97,8.382,0.0002,*,5.018,0.0,*,5.837,0.0006,*
danheld,8192,2.34,8.717,0.0002,*,4.37,0.0001,*,5.846,0.0006,*
defipulse,923,0.26,8.283,0.0003,*,4.909,0.0,*,6.078,0.0004,*
elonmusk,7783,2.22,8.076,0.0003,*,4.316,0.0001,*,5.398,0.0011,*
ethereum,561,0.16,6.585,0.0014,*,8.245,0.0,*,2.83,0.0593,
ethereumJoseph,210,0.06,8.585,0.0002,*,3.32,0.0016,*,4.964,0.002,*
ethhub_io,24,0.01,10.626,0.0,*,5.258,0.0013,*,2.58,0.0521,
godbole17,3507,1.0,8.256,0.0003,*,4.913,0.0,*,6.136,0.0004,*
iamjosephyoung,472,0.13,8.344,0.0002,*,4.914,0.0,*,6.1,0.0004,*
krakenfx,1700,0.48,8.305,0.0003,*,5.035,0.0,*,6.174,0.0004,*
lawmaster,3874,1.1,8.939,0.0001,*,4.657,0.0,*,5.656,0.0007,*
lopp,6062,1.73,8.496,0.0002,*,4.667,0.0,*,5.905,0.0005,*
maxkeiser,25777,7.35,6.638,0.0013,*,5.759,0.0,*,6.528,0.0002,*
mcshane_writes,5870,1.67,35.464,0.0,*,11.75,0.0,*,5.991,0.0001,*
mcuban,2455,0.7,8.748,0.0002,*,4.65,0.0,*,5.914,0.0005,*
muneeb,2327,0.66,8.414,0.0002,*,4.689,0.0,*,6.206,0.0003,*
namcios,2341,0.67,8.841,0.0002,*,4.826,0.0,*,6.111,0.0004,*
naval,1865,0.53,8.249,0.0003,*,5.383,0.0,*,6.564,0.0002,*
nayibbukele,4063,1.16,8.491,0.0002,*,4.519,0.0001,*,6.219,0.0003,*
noshitcoins,2359,0.67,8.287,0.0003,*,4.945,0.0,*,6.121,0.0004,*
novogratz,788,0.22,8.373,0.0002,*,4.822,0.0,*,6.068,0.0004,*
orangepillpod,1855,0.53,8.072,0.0003,*,5.001,0.0,*,6.305,0.0003,*
ournetwork__,82,0.02,8.355,0.0002,*,4.898,0.0,*,6.068,0.0004,*
pete_rizzo_,1610,0.46,8.295,0.0003,*,4.733,0.0,*,5.945,0.0005,*
real_vijay,1312,0.37,8.306,0.0003,*,4.867,0.0,*,6.059,0.0004,*
saylor,1405,0.4,8.321,0.0003,*,4.865,0.0,*,6.001,0.0005,*
shapeshift_io,5,0.0,8.376,0.0002,*,4.867,0.0,*,6.051,0.0004,*
solana,1787,0.51,8.37,0.0002,*,4.856,0.0,*,6.075,0.0004,*
todayindefi,489,0.14,8.359,0.0002,*,4.911,0.0,*,6.076,0.0004,*
zhusu,2349,0.67,8.46,0.0002,*,4.857,0.0,*,5.938,0.0005,*
