crash_std,normal_std,stability_ratio,crash_mean,normal_mean,asset,signal
0.0057,0.0059,0.9577,0.0061,0.0061,BTC,Full_LRR
0.0601,0.0499,1.2054,0.1587,0.1559,BTC,PageRank
0.1055,0.0644,1.6370,0.1412,0.1321,BTC,HITS
0.0598,0.0494,1.2092,0.1565,0.1534,BTC,Simple
0.0669,0.0509,1.3140,0.1538,0.1502,BTC,LRR_Social
0.0418,0.0336,1.2435,0.0995,0.0991,BTC,Neut_LRR
0.0698,0.0514,1.3584,0.1526,0.1492,BTC,LRR_NoCon
0.0155,0.0034,4.6223,0.0083,0.0058,ETH,Full_LRR
0.0566,0.0503,1.1237,0.1513,0.1567,ETH,PageRank
0.1002,0.0654,1.5316,0.1303,0.1333,ETH,HITS
0.0563,0.0499,1.1278,0.1495,0.1542,ETH,Simple
0.0625,0.0515,1.2144,0.1457,0.1511,ETH,LRR_Social
0.0404,0.0337,1.1992,0.0949,0.0996,ETH,Neut_LRR
0.0654,0.0520,1.2573,0.1443,0.1501,ETH,LRR_NoCon
0.0050,0.0060,0.8332,0.0064,0.0060,DOGE,Full_LRR
0.0547,0.0506,1.0813,0.1537,0.1565,DOGE,PageRank
0.1072,0.0642,1.6709,0.1397,0.1322,DOGE,HITS
0.0545,0.0501,1.0870,0.1516,0.1539,DOGE,Simple
0.0618,0.0516,1.1969,0.1487,0.1508,DOGE,LRR_Social
0.0386,0.0340,1.1361,0.0969,0.0994,DOGE,Neut_LRR
0.0648,0.0521,1.2442,0.1476,0.1498,DOGE,LRR_NoCon
0.0053,0.0060,0.8941,0.0060,0.0061,LTC,Full_LRR
0.0538,0.0507,1.0618,0.1566,0.1562,LTC,PageRank
0.1023,0.0650,1.5727,0.1413,0.1321,LTC,HITS
0.0532,0.0503,1.0567,0.1543,0.1536,LTC,Simple
0.0611,0.0517,1.1815,0.1515,0.1505,LTC,LRR_Social
0.0384,0.0340,1.1277,0.0987,0.0992,LTC,Neut_LRR
0.0644,0.0522,1.2336,0.1503,0.1495,LTC,LRR_NoCon
0.0147,0.0038,3.8673,0.0075,0.0059,SOL,Full_LRR
0.0530,0.0506,1.0478,0.1446,0.1575,SOL,PageRank
0.0902,0.0670,1.3454,0.1275,0.1336,SOL,HITS
0.0521,0.0503,1.0376,0.1422,0.1550,SOL,Simple
0.0575,0.0520,1.1057,0.1395,0.1518,SOL,LRR_Social
0.0351,0.0343,1.0228,0.0906,0.1001,SOL,Neut_LRR
0.0600,0.0526,1.1416,0.1383,0.1508,SOL,LRR_NoCon
0.0069,0.0058,1.1921,0.0069,0.0060,XRP,Full_LRR
0.0643,0.0493,1.3050,0.1538,0.1565,XRP,PageRank
0.1116,0.0634,1.7609,0.1355,0.1327,XRP,HITS
0.0639,0.0489,1.3067,0.1520,0.1539,XRP,Simple
0.0709,0.0503,1.4104,0.1498,0.1507,XRP,LRR_Social
0.0444,0.0332,1.3367,0.0965,0.0994,XRP,Neut_LRR
0.0738,0.0508,1.4532,0.1487,0.1497,XRP,LRR_NoCon
