asset,config,granger_F,granger_p,joint_crashes
BTC,Full_Oracle,12.15,0.0,7
BTC,No_Omega,12.071,0.0,7
BTC,No_Con,9.287,0.0,8
BTC,No_VAnchor,12.077,0.0,7
BTC,Omega_Only,9.383,0.0,8
BTC,Con_Only,11.995,0.0,7
BTC,Social_Only,9.612,0.0,9
ETH,Full_Oracle,12.193,0.0,7
ETH,No_Omega,12.096,0.0,7
ETH,No_Con,9.732,0.0,10
ETH,No_VAnchor,12.137,0.0,7
ETH,Omega_Only,9.836,0.0,10
ETH,Con_Only,12.031,0.0,7
ETH,Social_Only,10.047,0.0,11
DOGE,Full_Oracle,13.821,0.0,7
DOGE,No_Omega,14.023,0.0,7
DOGE,No_Con,9.984,0.0,8
DOGE,No_VAnchor,13.666,0.0,7
DOGE,Omega_Only,10.119,0.0,8
DOGE,Con_Only,13.937,0.0,7
DOGE,Social_Only,10.327,0.0,9
LTC,Full_Oracle,12.343,0.0,6
LTC,No_Omega,12.269,0.0,6
LTC,No_Con,9.651,0.0,7
LTC,No_VAnchor,12.272,0.0,6
LTC,Omega_Only,9.766,0.0,7
LTC,Con_Only,12.185,0.0,6
LTC,Social_Only,9.97,0.0,8
SOL,Full_Oracle,12.204,0.0,5
SOL,No_Omega,12.134,0.0,6
SOL,No_Con,10.524,0.0,11
SOL,No_VAnchor,12.169,0.0,5
SOL,Omega_Only,10.219,0.0,11
SOL,Con_Only,12.089,0.0,6
SOL,Social_Only,10.413,0.0,12
XRP,Full_Oracle,12.373,0.0,5
XRP,No_Omega,12.295,0.0,5
XRP,No_Con,9.952,0.0,12
XRP,No_VAnchor,12.301,0.0,5
XRP,Omega_Only,10.089,0.0,12
XRP,Con_Only,12.215,0.0,5
XRP,Social_Only,10.28,0.0,13
