time,volume,mean_sen,mean_omega,sen_change,z_volume,z_sen_shift,event_score
2021-06-18,5,0.08,0.5362142857142856,0.49625,-2.387974137525959,10.137513163809361,12.52548730133532
2021-06-08,1,0.0,0.5,0.3466666666666667,-2.4045909081759853,6.86809856580327,9.272689473979256
2021-06-30,13,0.16999999999999998,0.5126648351648352,0.23583333333333334,-2.354740596225907,4.44563538176533,6.800375977991237
2021-07-18,249,-0.013654618473895583,0.5304202524383248,0.1355871338113189,-1.374351127874368,2.2545731771174955,3.6289243049918634
2021-09-18,278,0.07579136690647482,0.5375411099691675,0.10939947278818167,-1.253879540661679,1.682194427902922,2.936073968564601
2021-09-05,204,0.11784313725490196,0.5511239495798319,0.08827931172468988,-1.5612897976871616,1.2205750659426773,2.781864863629839
2022-11-10,1096,0.09086678832116789,0.5429721715328467,0.010822501341539892,2.1442500572686547,-0.47238377471466203,2.6166338319833167
2021-08-07,342,0.015526315789473685,0.5370739348370928,0.10086491523919411,-0.9880112102612617,1.4956562192911131,2.4836674295523746
2022-11-30,1064,0.10467105263157896,0.5437624194414608,0.011336958049328924,2.011315892068446,-0.46113939184789243,2.4724552839163385
2021-08-17,142,0.23612676056338028,0.5281866197183098,0.004921941286271825,-1.8188497427625658,-0.6013511987666178,2.420200941529184
2022-06-13,1025,0.08573658536585366,0.5446909407665504,0.05667122374477543,1.8493023782306919,0.529723070912528,2.37902544914322
2022-05-04,1073,0.16230195712954334,0.5452103581413926,0.017413345361559862,2.048703626031005,-0.3283289447275794,2.377032570758584
2022-02-01,980,0.19174489795918367,0.5374016034985423,0.0007650321873715893,1.6623637084178984,-0.6922079739679243,2.3545716823858225
2022-06-29,962,0.15276507276507278,0.5400638550638551,0.004449304641859164,1.587588240492781,-0.6116815284254169,2.1992697689181977
2022-09-15,951,0.16804416403785488,0.5447183415953132,0.0027920115163296844,1.5418921212052092,-0.6479046705164334,2.1897967917216428
2022-03-09,950,0.1678842105263158,0.5387936090225564,0.0034583465352344134,1.5377379285427029,-0.6333407121567468,2.1710786406994496
2022-05-16,895,0.15805586592178772,0.5426899441340782,0.07121050509704546,1.3092573321048442,0.84750539089668,2.156762723001524
